Tempo	Acel X	Acel Y	Acel Z
2024-02-18 04:06:01.698016	-2.739902344	2.998564453	8.842412109
2024-02-18 04:06:01.701377	-2.720742188	3.132685547	8.851992188
2024-02-18 04:06:01.704847	-2.921923828	2.998564453	8.813671875
2024-02-18 04:06:01.708231	-2.749482422	3.103945313	8.832832031
2024-02-18 04:06:01.711729	-2.720742188	3.132685547	8.823251953
2024-02-18 04:06:01.715164	-2.720742188	3.132685547	8.871152344
2024-02-18 04:06:01.718510	-2.739902344	2.998564453	8.957373047
2024-02-18 04:06:01.721974	-2.739902344	2.998564453	8.832832031
2024-02-18 04:06:01.725473	-2.692001953	3.132685547	8.832832031
2024-02-18 04:06:01.728836	-2.730322266	3.132685547	8.813671875
2024-02-18 04:06:01.732520	-2.921923828	2.988984375	8.928632813
2024-02-18 04:06:01.736022	-2.711162109	2.988984375	8.832832031
2024-02-18 04:06:01.739480	-2.692001953	2.988984375	8.832832031
2024-02-18 04:06:01.742882	-2.711162109	2.988984375	8.832832031
2024-02-18 04:06:01.746314	-2.749482422	3.132685547	8.947792969
2024-02-18 04:06:01.749696	-2.720742188	3.046464844	8.832832031
2024-02-18 04:06:01.753104	-2.711162109	3.132685547	8.832832031
2024-02-18 04:06:01.756499	-2.730322266	3.017724609	8.842412109
2024-02-18 04:06:01.760002	-2.701582031	3.094365234	8.861572266
2024-02-18 04:06:01.763359	-2.7590625	3.103945313	9.04359375
2024-02-18 04:06:01.766791	-2.749482422	3.008144531	9.04359375
2024-02-18 04:06:01.770336	-2.816542969	2.998564453	8.919052734
2024-02-18 04:06:01.774974	-2.730322266	3.103945313	8.813671875
2024-02-18 04:06:01.779670	-2.941083984	3.094365234	8.842412109
2024-02-18 04:06:01.784344	-2.692001953	2.902763672	8.851992188
2024-02-18 04:06:01.788933	-2.749482422	3.103945313	8.957373047
2024-02-18 04:06:01.793509	-2.739902344	2.998564453	8.813671875
2024-02-18 04:06:01.800563	-2.730322266	2.988984375	8.842412109
2024-02-18 04:06:01.805189	-2.711162109	2.988984375	8.938212891
2024-02-18 04:06:01.809779	-2.692001953	3.017724609	8.957373047
2024-02-18 04:06:01.814313	-2.701582031	3.132685547	8.957373047
2024-02-18 04:06:01.821345	-2.739902344	2.988984375	8.947792969
2024-02-18 04:06:01.825967	-2.941083984	3.103945313	8.832832031
2024-02-18 04:06:01.830591	-2.720742188	3.027304688	8.823251953
2024-02-18 04:06:01.835284	-2.739902344	3.103945313	9.062753906
2024-02-18 04:06:01.839833	-2.941083984	3.132685547	8.813671875
2024-02-18 04:06:01.844404	-2.7590625	2.988984375	8.813671875
2024-02-18 04:06:01.849030	-2.739902344	3.008144531	8.871152344
2024-02-18 04:06:01.853578	-2.711162109	3.132685547	8.813671875
2024-02-18 04:06:01.858111	-2.730322266	2.998564453	8.823251953
2024-02-18 04:06:01.862763	-2.749482422	3.113525391	8.871152344
2024-02-18 04:06:01.867271	-2.720742188	3.008144531	8.947792969
2024-02-18 04:06:01.871864	-2.749482422	3.132685547	8.957373047
2024-02-18 04:06:01.876564	-2.816542969	3.123105469	8.880732422
2024-02-18 04:06:01.881100	-2.921923828	3.017724609	8.851992188
2024-02-18 04:06:01.885715	-2.711162109	3.132685547	8.871152344
2024-02-18 04:06:01.890432	-2.749482422	3.017724609	8.813671875
2024-02-18 04:06:01.894951	-2.7590625	3.132685547	8.938212891
2024-02-18 04:06:01.899567	-2.931503906	3.008144531	8.832832031
2024-02-18 04:06:01.904310	-2.720742188	2.988984375	8.957373047
2024-02-18 04:06:01.908882	-2.749482422	2.998564453	8.842412109
2024-02-18 04:06:01.913403	-2.730322266	3.046464844	8.851992188
2024-02-18 04:06:01.918070	-2.711162109	2.998564453	8.947792969
2024-02-18 04:06:01.922698	-2.739902344	2.988984375	8.947792969
